,new_length,original_length:,language,script,XLM-R
93,25777,25802,ubu,['Latn'],
94,87255,90252,lhu,['Latn'],
95,24228,31896,jiv,['Latn'],
96,20918,29950,pdc,['Latn'],
97,11014744,18211567,bos,['Latn'],
98,348135,450101,lmo,['Latn'],
99,54805,65042,mwn,['Latn'],
100,373329,490317,aym,['Latn'],
101,34349,34428,aoj,['Latn'],
102,13600579,22540376,est,['Latn'],True
103,748954,1220088,bre,['Latn'],True
104,63634,181298,bsb,['Latn'],
105,50286,50488,tls,['Latn'],
106,17882932,30453350,hrv,['Latn'],True
107,516833,1248518,jav,['Latn'],True
108,54687,100508,mai,['Deva'],
109,198649,239737,tyv,['Cyrl'],
110,183694,308761,afb,['Arab'],
111,1400979,1542587,twi,['Latn'],
112,146803,192995,sme,['Latn'],
113,74818,89598,yom,['Latn'],
114,20291,20313,mna,['Latn'],
115,44473,47932,tob,['Latn'],
116,17507,32610,frp,['Latn'],
117,147591,167294,mxv,['Latn'],
118,19190217,28266518,ron,['Latn'],True
119,40984,59926,ile,['Latn'],
120,120636,136385,cce,['Latn'],
121,2293672,2466896,uzn,['Cyrl'],
122,20363,23969,gui,['Latn'],
123,118733,135764,ibg,['Latn'],
124,3226932,4849849,hat,['Latn'],
125,887134,973259,fij,['Latn'],
126,202877,227749,kbp,['Latn'],
127,40654838,65499460,mlt,['Latn'],
128,79262,102288,kjh,['Cyrl'],
129,127952,338138,tam,['Latn'],
130,496613,557682,ndo,['Latn'],
131,894515,951659,rar,['Latn'],
132,22033282,33991561,ell,['Grek'],True
133,18763,24960,nau,['Latn'],
134,19121,88413,lao,['Latn'],True
135,521556,560646,tvl,['Latn'],
136,189651,215825,toj,['Latn'],
137,38071,38367,ikk,['Latn'],
138,6266475,6834736,ory,['Orya'],
139,14576191,21252518,nor,['Latn'],True
140,39809,40522,enm,['Latn'],
141,22593,22634,xsm,['Latn'],
142,16542,21313,cmi,['Latn'],
143,3488224,4583352,arz,['Arab'],
144,1111969,1246752,bem,['Latn'],
145,50549,53584,gkp,['Latn'],
146,45738685,52006175,guj,['Gujr'],
147,32264,32434,tbz,['Latn'],
148,860249,947953,ven,['Latn'],
149,39896,133413,crh,['Latn'],
150,77896,94231,xmv,['Latn'],
151,14633631,22523300,slk,['Latn'],True
152,318871,348949,zne,['Latn'],
153,16984,50107,gag,['Latn'],
154,24036,24219,tbg,['Latn'],
155,41196,49711,cgg,['Latn'],
156,15697827,19180235,vie,['Latn'],True
157,2862985,3079659,amh,['Ethi'],True
158,25345,41548,dsb,['Latn'],
159,177483,208350,nyu,['Latn'],
160,32811,33446,suz,['Deva'],
161,30349,30384,tuc,['Latn'],
162,654390,759246,lub,['Latn'],
163,8737198,11987717,epo,['Latn'],True
164,147674,158845,ksw,['Mymr'],
165,1356790,1650441,glk,['Arab'],
166,204472,215280,cak,['Latn'],
167,387070,596937,bar,['Latn'],
168,1882353,2271298,asm,['Beng'],
169,87568,129694,grn,['Latn'],
170,2100708,2296093,tso,['Latn'],
171,1619354,1762116,nso,['Latn'],
172,141673,157852,bum,['Latn'],
173,15396,20281,cdo,['Latn'],
174,186367,203444,dyu,['Latn'],
175,115914,134403,nyy,['Latn'],
176,230706,257850,tzh,['Latn'],
177,31465,76979,hne,['Deva'],
178,5319675,7215766,bel,['Cyrl'],True
179,112496,159021,szl,['Latn'],
180,297986,911598,bul,['Latn'],
181,38130,48655,ksh,['Latn'],
182,32867,61246,pcd,['Latn'],
183,219427,240285,ada,['Latn'],
184,30698,30996,pxm,['Latn'],
185,1262364,1593107,xho,['Latn'],True
186,937922,1540615,guj,['Latn'],
187,88815,92749,kaa,['Cyrl'],
188,158047,189890,kea,['Latn'],
189,40203,47948,teo,['Latn'],
190,298442,328906,tsc,['Latn'],
191,197268,357156,mal,['Latn'],
192,7046700,10594346,hin,['Deva'],True
193,582595,656828,ekk,['Latn'],
194,431589,483902,umb,['Latn'],
195,24643,39921,lez,['Cyrl'],
196,29338,43459,cor,['Latn'],
197,3388255,5464555,tam,['Taml'],True
198,745385,884573,toi,['Latn'],
199,685194,754733,kon,['Latn'],
200,728201,916337,che,['Cyrl'],
201,1222307,1329743,gaa,['Latn'],
202,540262,596716,tzo,['Latn'],
203,4616960,4910605,mon,['Cyrl'],True
204,31612,38349,cuk,['Latn'],
205,20376340,33181120,ces,['Latn'],True
206,15072,38026,ltz,['Arab'],
